COD_INSEE,LIB_INSEE,ALI_23,AUTRE_COM_23
01001,L'Abergement-Clémenciat,1,0
01004,Ambérieu-en-Bugey,49,96
01005,Ambérieux-en-Dombes,3,4
01007,Ambronay,4,3
01008,Ambutrix,0,6
01009,Andert-et-Condon,0,1
01010,Anglefort,2,0
01014,Arbent,8,42
01017,Argis,1,0
01021,Ars-sur-Formans,3,0
01022,Artemare,6,4
01024,Attignat,7,7
01025,Bâgé-Dommartin,6,3
01026,Bâgé-le-Châtel,3,2
01027,Balan,6,3
01029,Beaupont,3,0
01030,Beauregard,3,0
01031,Bellignat,6,8
01032,Béligneux,5,6
01033,Valserhône,39,54
01034,Belley,35,63
01036,Valromey-sur-Séran,1,0
01038,Bény,1,0
01041,Bettant,0,1
01042,Bey,1,0
01043,Beynost,14,63
01044,Billiat,1,0
01047,Blyes,1,2
01049,La Boisse,4,6
01053,Bourg-en-Bresse,102,281
01056,Boyeux-Saint-Jérôme,1,1
01058,Brégnier-Cordon,4,1
01060,Brénod,2,2
01061,Brens,1,1
01062,Bressolles,1,0
01063,Brion,1,0
01064,Briord,1,2
01065,Buellas,3,0
01067,Ceignes,1,2
01068,Cerdon,3,1
01069,Certines,1,0
01071,Cessy,7,15
01072,Ceyzériat,7,3
01073,Ceyzérieu,2,0
01074,Chalamont,7,7
01075,Chaleins,3,1
01079,Champagne-en-Valromey,3,3
01080,Champdor-Corcelles,1,1
01081,Champfromier,3,1
01082,Chanay,1,1
01083,Chaneins,2,1
01085,La Chapelle-du-Châtelard,1,0
01087,Charix,0,1
01088,Charnoz-sur-Ain,1,0
01089,Château-Gaillard,2,6
01090,Châtenay,0,1
01092,Châtillon-la-Palud,3,3
01093,Châtillon-sur-Chalaronne,23,32
01095,Nivigne et Suran,2,1
01096,Chaveyriat,2,0
01098,Chazey-Bons,1,4
01099,Chazey-sur-Ain,1,1
01102,Chevroux,1,0
01103,Chevry,2,0
01104,Chézery-Forens,2,1
01105,Civrieux,4,2
01107,Cleyzieu,0,1
01108,Coligny,4,3
01109,Collonges,3,0
01112,Condamine,1,0
01113,Condeissiat,2,0
01114,Confort,1,0
01115,Confrançon,1,3
01116,Contrevoz,1,1
01117,Conzieu,1,0
01118,Corbonod,3,0
01123,Cormoranche-sur-Saône,1,1
01124,Cormoz,1,0
01125,Corveissiat,2,0
01127,Courmangoux,1,0
01128,Courtes,0,1
01130,Bresse Vallons,6,1
01133,Cressin-Rochefort,0,1
01134,Crottet,3,1
01135,Crozet,3,3
01136,Cruzilles-lès-Mépillat,1,1
01138,Culoz-Béon,9,8
01139,Curciat-Dongalon,0,1
01142,Dagneux,5,10
01143,Divonne-les-Bains,18,40
01145,Dompierre-sur-Veyle,2,0
01148,Dortan,2,3
01149,Douvres,0,2
01151,Druillat,0,1
01152,Échallon,2,1
01153,Échenevex,0,1
01156,Faramans,0,1
01157,Fareins,4,0
01158,Farges,1,1
01159,Feillens,8,8
01160,Ferney-Voltaire,31,43
01162,Flaxieu,2,0
01163,Foissiat,5,2
01165,Francheleins,1,0
01166,Frans,3,7
01173,Gex,14,21
01179,Grièges,5,3
01180,Grilly,1,1
01181,Groissiat,1,2
01183,Guéreins,3,2
01184,Hautecourt-Romanèche,2,0
01185,Plateau d'Hauteville,13,17
01187,Haut Valromey,2,2
01188,Illiat,1,1
01189,Injoux-Génissiat,1,0
01192,Izernore,4,4
01194,Jassans-Riottier,11,11
01195,Jasseron,2,4
01196,Jayat,6,5
01198,Joyeux,1,0
01199,Jujurieux,2,2
01202,Lagnieu,13,26
01203,Laiz,1,2
01204,Le Poizat-Lalleyriat,2,1
01210,Lélex,3,4
01211,Lent,3,1
01212,Lescheroux,1,0
01213,Leyment,1,4
01216,Lhuis,3,0
01219,Lompnas,0,2
01224,Loyettes,1,3
01225,Lurcy,0,1
01228,Maillat,3,1
01229,Malafretaz,3,2
01231,Manziat,3,0
01232,Marboz,6,4
01233,Marchamp,0,1
01235,Marlieux,2,0
01236,Marsonnas,3,0
01237,Martignat,3,1
01238,Massieux,7,6
01239,Massignieu-de-Rives,1,0
01241,Meillonnas,4,0
01243,Messimy-sur-Saône,1,1
01244,Meximieux,28,44
01245,Bohas-Meyriat-Rignat,2,0
01246,Mézériat,4,2
01247,Mijoux,3,3
01248,Mionnay,2,6
01249,Miribel,28,23
01250,Misérieux,1,0
01252,Mogneneins,1,1
01254,Montagnat,6,8
01258,Montceaux,3,1
01259,Montcet,1,0
01260,Le Montellier,0,1
01262,Montluel,13,10
01263,Montmerle-sur-Saône,8,8
01264,Montracol,0,1
01265,Montréal-la-Cluse,11,7
01266,Montrevel-en-Bresse,6,15
01267,Nurieux-Volognat,2,3
01269,Nantua,14,11
01272,Neuville-les-Dames,2,4
01273,Neuville-sur-Ain,2,3
01274,Les Neyrolles,2,0
01275,Neyron,0,1
01276,Niévroz,2,3
01280,Ordonnaz,1,0
01281,Ornex,3,6
01283,Oyonnax,60,105
01284,Ozan,1,0
01288,Péron,6,5
01289,Péronnas,8,19
01290,Pérouges,2,3
01291,Perrex,2,0
