COD_INSEE,LIB_INSEE,ECOLE_23,SUP_23,RES_ETU_23
01001,L'Abergement-Clémenciat,1,0,0
01004,Ambérieu-en-Bugey,11,3,0
01005,Ambérieux-en-Dombes,1,0,0
01007,Ambronay,2,0,0
01008,Ambutrix,1,0,0
01010,Anglefort,1,0,0
01011,Apremont,1,0,0
01012,Aranc,1,0,0
01013,Arandas,1,0,0
01014,Arbent,5,0,0
01015,Arboys en Bugey,1,0,0
01017,Argis,1,0,0
01021,Ars-sur-Formans,2,0,0
01022,Artemare,3,0,0
01024,Attignat,2,0,0
01025,Bâgé-Dommartin,3,0,0
01026,Bâgé-le-Châtel,2,1,0
01027,Balan,2,1,0
01028,Baneins,1,0,0
01029,Beaupont,1,0,0
01030,Beauregard,1,0,0
01031,Bellignat,6,2,0
01032,Béligneux,2,1,0
01033,Valserhône,13,0,0
01034,Belley,11,0,0
01037,Bénonces,1,0,0
01038,Bény,1,0,0
01040,Béréziat,1,0,0
01041,Bettant,1,0,0
01043,Beynost,3,0,0
01044,Billiat,1,0,0
01046,Biziat,1,0,0
01047,Blyes,1,0,0
01049,La Boisse,3,0,0
01050,Boissey,1,0,0
01053,Bourg-en-Bresse,40,18,1
01054,Bourg-Saint-Christophe,1,0,0
01057,Boz,1,0,0
01058,Brégnier-Cordon,1,0,0
01060,Brénod,1,0,0
01061,Brens,1,0,0
01062,Bressolles,1,0,0
01063,Brion,1,0,0
01064,Briord,2,0,0
01065,Buellas,1,0,0
01068,Cerdon,1,0,0
01069,Certines,1,0,0
01071,Cessy,4,0,0
01072,Ceyzériat,3,1,0
01073,Ceyzérieu,1,0,0
01074,Chalamont,1,0,0
01075,Chaleins,1,0,0
01078,Challex,1,0,0
01079,Champagne-en-Valromey,2,0,0
01080,Champdor-Corcelles,1,0,0
01081,Champfromier,1,0,0
01082,Chanay,1,0,0
01083,Chaneins,1,0,0
01084,Chanoz-Châtenay,1,0,0
01087,Charix,1,0,0
01088,Charnoz-sur-Ain,1,0,0
01089,Château-Gaillard,2,0,0
01090,Châtenay,1,0,0
01092,Châtillon-la-Palud,1,1,0
01093,Châtillon-sur-Chalaronne,6,0,0
01094,Chavannes-sur-Reyssouze,1,0,0
01095,Nivigne et Suran,1,0,0
01096,Chaveyriat,1,0,0
01098,Chazey-Bons,1,0,0
01099,Chazey-sur-Ain,1,2,0
01102,Chevroux,1,0,0
01103,Chevry,3,0,0
01104,Chézery-Forens,1,0,0
01105,Civrieux,1,0,0
01108,Coligny,2,0,0
01109,Collonges,1,0,0
01112,Condamine,1,0,0
01113,Condeissiat,1,0,0
01114,Confort,1,0,0
01115,Confrançon,1,0,0
01116,Contrevoz,1,0,0
01118,Corbonod,1,0,0
01123,Cormoranche-sur-Saône,1,0,0
01124,Cormoz,1,0,0
01125,Corveissiat,1,0,0
01130,Bresse Vallons,2,0,0
01133,Cressin-Rochefort,1,0,0
01134,Crottet,1,0,0
01135,Crozet,1,0,0
01136,Cruzilles-lès-Mépillat,1,0,0
01138,Culoz-Béon,4,0,0
01139,Curciat-Dongalon,1,0,0
01140,Curtafond,1,0,0
01142,Dagneux,5,0,0
01143,Divonne-les-Bains,8,0,0
01145,Dompierre-sur-Veyle,1,0,0
01147,Domsure,1,0,0
01148,Dortan,2,0,0
01149,Douvres,1,0,0
01150,Drom,1,0,0
01151,Druillat,1,0,0
01152,Échallon,1,0,0
