COD_INSEE,LIB_INSEE,SANTE_23
01001,L'Abergement-Clémenciat,1
01002,L'Abergement-de-Varey,1
01004,Ambérieu-en-Bugey,226
01005,Ambérieux-en-Dombes,14
01007,Ambronay,17
01010,Anglefort,3
01014,Arbent,26
01017,Argis,1
01021,Ars-sur-Formans,11
01022,Artemare,19
01023,Asnières-sur-Saône,1
01024,Attignat,22
01025,Bâgé-Dommartin,11
01026,Bâgé-le-Châtel,16
01027,Balan,4
01029,Beaupont,2
01030,Beauregard,2
01031,Bellignat,12
01032,Béligneux,23
01033,Valserhône,112
01034,Belley,128
01037,Bénonces,1
01038,Bény,2
01040,Béréziat,1
01043,Beynost,47
01046,Biziat,2
01047,Blyes,6
01049,La Boisse,24
01053,Bourg-en-Bresse,500
01054,Bourg-Saint-Christophe,1
01058,Brégnier-Cordon,9
01060,Brénod,5
01063,Brion,2
01064,Briord,2
01065,Buellas,11
01068,Cerdon,1
01069,Certines,6
01071,Cessy,16
01072,Ceyzériat,36
01073,Ceyzérieu,1
01074,Chalamont,27
01075,Chaleins,9
01078,Challex,1
01079,Champagne-en-Valromey,12
01081,Champfromier,2
01082,Chanay,1
01083,Chaneins,4
01084,Chanoz-Châtenay,1
01088,Charnoz-sur-Ain,4
01089,Château-Gaillard,8
01092,Châtillon-la-Palud,5
01093,Châtillon-sur-Chalaronne,88
01095,Nivigne et Suran,2
01096,Chaveyriat,2
01098,Chazey-Bons,3
01099,Chazey-sur-Ain,15
01102,Chevroux,1
01103,Chevry,1
01105,Civrieux,10
01108,Coligny,17
01109,Collonges,21
01114,Confort,1
01115,Confrançon,5
01118,Corbonod,5
01123,Cormoranche-sur-Saône,6
01125,Corveissiat,1
01130,Bresse Vallons,10
01134,Crottet,6
01135,Crozet,2
01136,Cruzilles-lès-Mépillat,3
01138,Culoz-Béon,29
01140,Curtafond,1
01141,Cuzieu,1
01142,Dagneux,53
01143,Divonne-les-Bains,71
01145,Dompierre-sur-Veyle,2
01147,Domsure,1
01148,Dortan,4
01152,Échallon,1
01153,Échenevex,2
01157,Fareins,29
01158,Farges,2
01159,Feillens,22
01160,Ferney-Voltaire,101
01163,Foissiat,5
01166,Frans,8
01167,Garnerans,2
01170,Béard-Géovreissiat,2
01173,Gex,63
01179,Grièges,14
01180,Grilly,1
01181,Groissiat,2
01183,Guéreins,3
01184,Hautecourt-Romanèche,1
01185,Plateau d'Hauteville,76
01187,Haut Valromey,1
01189,Injoux-Génissiat,3
01192,Izernore,12
01194,Jassans-Riottier,54
01195,Jasseron,8
01196,Jayat,1
01197,Journans,1
01199,Jujurieux,16
01202,Lagnieu,76
01203,Laiz,1
01207,Lapeyrouse,1
01210,Lélex,4
01211,Lent,12
01213,Leyment,4
01216,Lhuis,5
01224,Loyettes,18
01227,Magnieu,1
01228,Maillat,9
01229,Malafretaz,3
01231,Manziat,15
01232,Marboz,20
01235,Marlieux,8
01236,Marsonnas,1
01237,Martignat,5
01238,Massieux,12
01240,Matafelon-Granges,3
01241,Meillonnas,7
01243,Messimy-sur-Saône,3
01244,Meximieux,101
01245,Bohas-Meyriat-Rignat,1
01246,Mézériat,17
01247,Mijoux,2
01248,Mionnay,20
01249,Miribel,90
01250,Misérieux,5
01252,Mogneneins,1
01254,Montagnat,9
01258,Montceaux,7
01262,Montluel,84
01263,Montmerle-sur-Saône,32
01264,Montracol,4
01265,Montréal-la-Cluse,31
01266,Montrevel-en-Bresse,48
01267,Nurieux-Volognat,1
01268,Murs-et-Gélignieux,2
01269,Nantua,21
01272,Neuville-les-Dames,14
01273,Neuville-sur-Ain,5
01274,Les Neyrolles,1
01275,Neyron,15
01276,Niévroz,7
01281,Ornex,14
01283,Oyonnax,216
01284,Ozan,1
01285,Parcieux,2
01288,Péron,6
01289,Péronnas,56
01290,Pérouges,3
01291,Perrex,1
01294,Peyrieu,2
01295,Peyzieux-sur-Saône,2
01296,Pirajoux,1
01301,Polliat,17
01303,Poncin,20
01304,Pont-d'Ain,35
01305,Pont-de-Vaux,43
01306,Pont-de-Veyle,30
01307,Port,2
01308,Pougny,2
01310,Prémeyzel,2
01313,Prévessin-Moëns,33
01314,Priay,14
01318,Rancé,3
01320,Replonges,25
01322,Reyrieux,41
01325,Rignieux-le-Franc,1
01328,Romans,2
01330,Ruffieu,1
01333,Saint-André-de-Corcy,42
01336,Saint-André-sur-Vieux-Jonc,4
01337,Saint-Bénigne,2
01338,Groslée-Saint-Benoit,3
01339,Saint-Bernard,3
01343,Saint-Cyr-sur-Menthon,12
01344,Saint-Denis-lès-Bourg,61
01345,Saint-Denis-en-Bugey,12
01346,Saint-Didier-d'Aussiat,1
01347,Saint-Didier-de-Formans,9
01348,Saint-Didier-sur-Chalaronne,21
01350,Saint-Étienne-du-Bois,22
01351,Saint-Étienne-sur-Chalaronne,6
01353,Sainte-Euphémie,2
01354,Saint-Genis-Pouilly,112
01357,Saint-Germain-de-Joux,2
01360,Saint-Jean-de-Gonville,8
01361,Saint-Jean-de-Niost,3
01362,Saint-Jean-de-Thurigneux,3
01363,Saint-Jean-le-Vieux,13
01365,Saint-Jean-sur-Veyle,2
01366,Sainte-Julie,10
01367,Saint-Julien-sur-Reyssouze,8
01368,Saint-Julien-sur-Veyle,2
01369,Saint-Just,8
01370,Saint-Laurent-sur-Saône,19
01371,Saint-Marcel,1
01372,Saint-Martin-de-Bavel,1
01373,Saint-Martin-du-Frêne,26
01374,Saint-Martin-du-Mont,2
01376,Saint-Maurice-de-Beynost,46
01378,Saint-Maurice-de-Gourdans,13
01379,Saint-Maurice-de-Rémens,3
01380,Saint-Nizier-le-Bouchoux,2
01381,Saint-Nizier-le-Désert,1
01382,Sainte-Olive,1
01383,Saint-Paul-de-Varax,12
01384,Saint-Rambert-en-Bugey,20
01385,Saint-Rémy,1
01386,Saint-Sorlin-en-Bugey,1
01388,Saint-Trivier-de-Courtes,24
01389,Saint-Trivier-sur-Moignans,14
01390,Saint-Vulbas,10
01396,Sault-Brénaz,5
01398,Savigneux,5
01399,Ségny,3
01401,Sergy,1
01402,Sermoyer,1
01403,Serrières-de-Briord,16
01405,Servas,1
01407,Seyssel,11
01408,Simandre-sur-Suran,1
01410,Sonthonnax-la-Montagne,1
01412,Sulignat,1
01415,Talissieu,2
01416,Tenay,12
01418,Thil,1
01419,Thoiry,18
01420,Thoissey,27
01421,Torcieu,1
01422,Tossiat,15
01423,Toussieux,2
01424,Tramoyes,8
01426,Val-Revermont,20
01427,Trévoux,86
01430,Varambon,1
01431,Vaux-en-Bugey,3
01433,Vernoux,2
01435,Versonnex,16
01443,Villars-les-Dombes,71
01446,Villeneuve,1
01447,Villereversure,19
01450,Villieu-Loyes-Mollon,20
01451,Viriat,53
01452,Virieu-le-Grand,11
01453,Arvière-en-Valromey,4
01454,Virignin,4
01457,Vonnas,24
02002,Achery,1
02003,Acy,5
02009,Alaincourt,1
02011,Ambleny,7
02013,Amifontaine,1
02014,Amigny-Rouy,1
02017,Anguilcourt-le-Sart,2
02018,Anizy-le-Grand,16
02022,Arcy-Sainte-Restitue,1
02025,Artemps,1
02028,Athies-sous-Laon,20
02031,Aubenton,9
02032,Aubigny-aux-Kaisnes,1
02037,Aulnois-sous-Laon,5
02038,Les Autels,2
02049,Barisis-aux-Bois,1
02051,Barzy-sur-Marne,1
02054,Bazoches-et-Saint-Thibaut,1
02057,Beaurevoir,13
02058,Beaurieux,18
02059,Beautor,10
02063,Bellenglise,3
02064,Belleu,30
02065,Bellicourt,3
02071,Berny-Rivière,1
02080,Besny-et-Loizy,2
02081,Béthancourt-en-Vaux,1
02083,Beuvardes,7
02085,Bézu-Saint-Germain,2
02089,Billy-sur-Aisne,6
02090,Billy-sur-Ourcq,1
02093,Blérancourt,14
02094,Blesmes,2
02095,Bohain-en-Vermandois,53
02100,Bony,1
02103,Boué,16
02106,Bourg-et-Comin,8
02110,Braine,27
02111,Brancourt-en-Laonnois,6
02114,Brasles,7
02123,Brissay-Choigny,2
02124,Brissy-Hamégicourt,1
02126,Brunehamel,3
02127,Bruyères-sur-Fère,1
02128,Bruyères-et-Montbérault,13
02131,Bucy-le-Long,13
02132,Bucy-lès-Cerny,1
02134,Buire,1
02135,Buironfosse,10
02138,Buzancy,1
02140,Camelin,1
02141,La Capelle,30
02143,Le Catelet,6
02145,Caumont,2
02151,Cerny-lès-Bucy,2
02153,Cessières-Suzy,2
02157,Chambry,5
02163,Charly-sur-Marne,37
02165,Charmes,5
02167,Chassemy,2
02168,Château-Thierry,206
02172,Chaudun,4
02173,Chauny,127
02174,Chavignon,1
02180,Chéry-lès-Pouilly,1
02184,Chevresis-Monceau,1
02185,Chézy-en-Orxois,1
02186,Chézy-sur-Marne,17
02187,Chierry,4
02190,Chivres-Val,1
02191,Chivy-lès-Étouvelles,1
02195,Ciry-Salsogne,2
02197,Clairfontaine,1
02199,Clastres,3
02201,Cœuvres-et-Valsery,6
02203,Coincy,4
02209,Condé-en-Brie,17
02211,Condé-sur-Suippe,2
02212,Condren,2
02215,Corbeny,5
02217,Coucy-le-Château-Auffrique,15
02218,Coucy-lès-Eppes,1
02219,Coucy-la-Ville,1
02220,Coulonges-Cohan,3
02226,Courmelles,5
02228,Courtemont-Varennes,3
02231,Couvron-et-Aumencourt,2
02232,Coyolles,9
02234,Craonne,1
02237,Crécy-sur-Serre,22
02238,Crépy,13
02239,Crézancy,4
02242,Crouttes-sur-Marne,1
02243,Crouy,22
02245,Cuffies,13
02258,Dammard,2
02259,Dampleux,1
02261,Dercy,1
02264,Dizy-le-Gros,9
02268,Domptin,1
02286,Esquéhéries,1
02287,Essigny-le-Grand,7
02290,Essômes-sur-Marne,18
02292,Étampes-sur-Marne,7
02295,Étréaupont,3
02296,Étreillers,12
02298,Étreux,14
02302,Faverolles,1
02303,Fayet,1
02304,La Fère,40
02305,Fère-en-Tardenois,37
02306,La Ferté-Chevresis,4
02307,La Ferté-Milon,18
02308,Fesmy-le-Sart,1
02309,Festieux,3
02310,Fieulaine,1
02312,La Flamengrie,1
02315,Flavy-le-Martel,15
02318,Folembray,10
02321,Fontaine-lès-Vervins,6
02326,Fontenoy,2
02330,Francilly-Selency,2
02334,Fresnoy-le-Grand,30
02336,Frières-Faillouël,3
02338,Froidmont-Cohartille,3
02339,Gandelu,4
02340,Gauchy,30
02352,Gouy,1
02355,Gricourt,1
02359,Grugies,4
02360,Villeneuve-sur-Aisne,30
02361,Guise,63
02363,Guny,1
02370,Hargicourt,5
02371,Harly,7
02372,Hartennes-et-Taux,5
02374,Lehaucourt,3
02381,Hirson,73
02382,Holnon,14
02383,Homblières,7
02387,Itancourt,7
02388,Iviers,2
02389,Jaulgonne,20
02397,Jussy,4
02408,Laon,245
02418,Lerzy,1
02420,Lesdins,4
02423,Leuilly-sous-Coucy,1
02426,Levergies,2
02430,Liesse-Notre-Dame,15
02439,Les Septvallons,1
02453,Maizy,2
02458,Dhuys et Morin-en-Brie,3
02465,Marigny-en-Orxois,1
02468,Marle,30
02469,Marly-Gomont,12
02476,Mennevret,3
02477,Mercin-et-Vaux,5
02478,Merlieux-et-Fouquerolles,1
02481,Mesnil-Saint-Laurent,1
02483,Mézières-sur-Oise,4
02484,Mézy-Moulins,1
02487,Missy-sur-Aisne,2
02490,Monampteuil,1
02495,Mondrepuis,3
02497,Mons-en-Laonnois,10
02500,Montbrehain,2
02502,Montcornet,25
02503,Mont-d'Origny,2
02504,Montescourt-Lizerolles,8
02510,Monthurel,1
02514,Montigny-Lengrain,8
02520,Mont-Notre-Dame,2
02521,Montreuil-aux-Lions,10
02525,Morcourt,1
02526,Morgny-en-Thiérache,1
02527,Morsain,2
02532,Moÿ-de-l'Aisne,19
02539,Nauroy,8
02540,Nesles-la-Montagne,2
02543,Neuilly-Saint-Front,17
02544,Neuve-Maison,2
02545,La Neuville-Bosmont,1
02549,Neuville-Saint-Amand,2
02554,Nogentel,6
