COD_INSEE,LIB_INSEE,SPORT_23,CULTURE_23
01001,L'Abergement-Clémenciat,5,0
01002,L'Abergement-de-Varey,1,0
01004,Ambérieu-en-Bugey,38,3
01005,Ambérieux-en-Dombes,9,1
01006,Ambléon,1,0
01007,Ambronay,11,2
01008,Ambutrix,6,1
01009,Andert-et-Condon,1,0
01010,Anglefort,8,1
01011,Apremont,2,0
01012,Aranc,3,1
01013,Arandas,3,0
01014,Arbent,17,1
01015,Arboys en Bugey,4,0
01016,Arbigny,1,0
01017,Argis,5,0
01019,Armix,1,0
01021,Ars-sur-Formans,6,2
01022,Artemare,6,1
01024,Attignat,7,1
01025,Bâgé-Dommartin,14,2
01026,Bâgé-le-Châtel,4,1
01027,Balan,10,1
01028,Baneins,9,0
01029,Beaupont,6,1
01030,Beauregard,7,1
01031,Bellignat,21,0
01032,Béligneux,18,1
01033,Valserhône,54,7
01034,Belley,24,4
01035,Belleydoux,6,0
01036,Valromey-sur-Séran,9,0
01037,Bénonces,3,0
01038,Bény,5,1
01040,Béréziat,7,1
01041,Bettant,4,0
01042,Bey,2,0
01043,Beynost,17,1
01044,Billiat,2,0
01045,Birieux,1,0
01046,Biziat,5,1
01047,Blyes,8,1
01049,La Boisse,15,1
01050,Boissey,1,0
01051,Bolozon,2,0
01053,Bourg-en-Bresse,139,15
01054,Bourg-Saint-Christophe,5,1
01056,Boyeux-Saint-Jérôme,4,0
01057,Boz,2,1
01058,Brégnier-Cordon,12,1
01060,Brénod,7,1
01061,Brens,5,1
01062,Bressolles,5,0
01063,Brion,8,0
01064,Briord,3,1
01065,Buellas,10,1
01066,La Burbanche,3,0
01067,Ceignes,3,0
01068,Cerdon,3,1
01069,Certines,6,1
01071,Cessy,5,1
01072,Ceyzériat,15,1
01073,Ceyzérieu,5,0
01074,Chalamont,11,1
01075,Chaleins,4,0
01076,Chaley,3,0
01077,Challes-la-Montagne,3,0
01078,Challex,5,1
01079,Champagne-en-Valromey,8,1
01080,Champdor-Corcelles,5,1
01081,Champfromier,6,1
01082,Chanay,8,1
01083,Chaneins,5,1
01084,Chanoz-Châtenay,5,1
01085,La Chapelle-du-Châtelard,1,0
01087,Charix,6,0
01088,Charnoz-sur-Ain,0,1
